Area,Savanna fires,Forest fires,Crop Residues,Rice Cultivation,Drained organic soils (CO2),Pesticides Manufacturing,Food Transport,Food Household Consumption,Food Retail,On-farm Electricity Use,Food Packaging,Agrifood Systems Waste Disposal,Food Processing,Fertilizers Manufacturing
Afghanistan,15.088267741935484,0.05747741935483871,316.7494161290323,652.752835483871,0.0,37.696716776677555,206.7404741935484,466.44361612903225,227.96182903225807,36.22811612903226,160.8982373860921,1888.4930645161292,672.348595314706,26.010496774193548
Albania,5.479451612903226,6.920467741935483,37.33208064516129,208.64401029180476,109.79653548387097,4.808636959487754,199.83913225806452,84.63237419354839,57.00101935483871,4.693187096774193,20.370832258064517,572.357435483871,90.4615876651119,784.2256209817501
Algeria,55.966177419354835,83.76707741935483,279.6983419354839,2.462009677419355,0.0,49.16129032258065,2693.3971193548387,13243.90673548387,454.5630290322581,298.8873677419355,541.1576677419355,8014.5621,1089.074531773755,992.0448580645161
American Samoa,0.0,0.0,0.0,1158.4682240371685,0.0,11.481084565896976,14.289009677419354,0.6319129032258065,6.214174193548387,17.00466278502689,77.39365076150476,2.010432258064516,69.34500322580645,2005.7921290780253
Andorra,0.0,0.0,0.0,926.3422784724488,0.0,11.481084565896976,39.21044516129032,2.562622580645161,3.6520451612903226,17.00466278502689,67.63136607385836,15.222038709677419,147.2764616718492,1664.2573914805905
Angola,25221.046803225803,15342.311758064516,106.34150967741935,100.63298387096773,337.86431935483876,1.1935483870967742,373.406664516129,470.9489967741936,209.49076451612905,687.4459459287106,43.912028745415334,2035.539429032258,277.3345432474347,430.54806919818424
Anguilla,0.0,0.0,0.0,2613.5917060799566,0.0,11.481084565896976,3.6285000000000003,9.900041935483872,5.028509677419355,1.3911354838709677,74.01813278081946,65.0723473790681,483.1260997993476,2791.6842277879755
Antigua and Barbuda,0.0,0.0,0.002854838709677419,246.40727646443952,0.0,0.25806451612903225,17.02762258064516,13.97426129032258,19.11255806451613,4.262254838709677,172.1797793227163,33.12753870967742,252.2141899664796,1807.613681193928
Argentina,2821.3299193548387,1117.634706451613,4483.205051612903,1456.3801483870968,5185.092974193548,4253.806451612903,4564.815619354838,4266.510825806451,3190.729477419355,239.33203548387095,1028.6350870967742,10755.60994516129,4632.171199179759,1056.2903838709676
Armenia,4.213793103448276,0.8699413793103449,29.93056551724138,248.06149701135485,0.0,3.413793103448276,139.7496379310345,175.93588620689655,157.95754827586208,58.006382758620695,45.59537241379311,417.2451344827586,215.67598620689657,377.4078995531106
Aruba,0.0,0.0,0.0,1945.8349407413666,0.0,11.481084565896976,21.434770967741933,36.47990967741935,65.99823225806452,19.02916129032258,67.63136607385836,78.9853741935484,451.19629118273247,1598.046702244067
Australia,55173.418296774194,4365.332806451614,2195.863551612903,770.0921290322581,2857.2817903225805,1676.9354838709678,8600.514922580644,10301.650738709677,5667.481103225807,2009.436735483871,7753.494083870967,4830.626622580645,8052.709503225807,539.2883806451613
Austria,0.05748709677419355,0.45877741935483873,258.43957741935486,920.6225341032097,279.0965806451613,64.19354838709677,1603.493393548387,1227.246193548387,1066.0968774193548,208.19684193548386,635.8594258064517,1555.0677838709678,1288.2004258064514,1633.8179976224471
Azerbaijan,26.66965517241379,3.3207482758620688,145.68575172413793,18.650010344827585,0.0,6.137931034482759,560.080824137931,1281.1485379310345,876.6081,1005.9002862068966,156.64658965517242,1755.4554344827586,561.854475862069,802.9043160693218
Bahamas,10.549067741935483,46.618806451612905,0.02224193548387097,246.40727646443952,0.0,6.032258064516129,33.36542258064516,112.83233870967742,78.89506774193549,42.22273225806452,121.89330631122861,251.53414516129033,209.58772835754152,1470.918447177869
Bahrain,0.0,0.0,0.0005275862068965517,279.3975581873084,0.0,0.0967741935483871,267.3865322580645,438.0893,489.64419032258064,31.41474193548387,579.6850741935484,440.72449677419354,84.8234396263905,324.25831612903227
Bangladesh,20.641151612903222,120.87083870967743,2852.220980645161,30090.94567419355,17736.226309677422,165.09677419354838,656.5648193548387,1087.4753,919.3617903225806,363.6753806451613,20.71796129032258,15816.937409677419,2455.6320726944696,1002.3666612903226
Barbados,0.013974193548387095,0.0,0.030851612903225807,246.40727646443952,0.0,16.725196276319256,40.386832258064516,65.28109032258064,83.8561129032258,24.135063785062357,115.49067032820126,165.3683129032258,209.58772835754152,693.7392604860769
Belarus,9.48151724137931,29.80116896551724,443.81968620689656,926.3422784724488,42680.64224482759,110.82758620689656,1054.8333344827586,1324.6382034482758,850.278224137931,911.5189068965517,436.0153379310345,2143.117579310345,2179.332082758621,4049.1191551724137
Belgium,0.039933333333333335,0.04189047619047619,180.57365238095238,725.6426004657739,201.6053523809524,287.0952380952381,2005.616157142857,1460.7250714285715,2655.984242857143,238.08804761904761,769.1445857142857,1829.1577190476191,3258.1117809523807,2004.0443304491967
Belgium-Luxembourg,0.01976,0.14401,153.00200999999998,773.3039548468817,217.01519,301.8,1565.3506745303519,0.0,1325.4304126942045,647.5560528480912,995.8463907993442,2476.49974,2052.633382842863,1786.5435650444342
Belize,13.369267741935483,93.94501612903227,4.195222580645161,3.074941935483871,149.67881935483874,22.35483870967742,32.6921,41.14713548387097,13.447141935483872,1.5861,67.63136607385836,224.41669032258065,211.57662980301038,5669.982067844824
