Area,Type,Emissions
Afghanistan,Savanna fires,15.088267741935484
Albania,Savanna fires,5.479451612903226
Algeria,Savanna fires,55.966177419354835
American Samoa,Savanna fires,0.0
Andorra,Savanna fires,0.0
Angola,Savanna fires,25221.046803225803
Anguilla,Savanna fires,0.0
Antigua and Barbuda,Savanna fires,0.0
Argentina,Savanna fires,2821.3299193548387
Armenia,Savanna fires,4.213793103448276
Aruba,Savanna fires,0.0
Australia,Savanna fires,55173.418296774194
Austria,Savanna fires,0.05748709677419355
Azerbaijan,Savanna fires,26.66965517241379
Bahamas,Savanna fires,10.549067741935483
Bahrain,Savanna fires,0.0
Bangladesh,Savanna fires,20.641151612903222
Barbados,Savanna fires,0.013974193548387095
Belarus,Savanna fires,9.48151724137931
Belgium,Savanna fires,0.039933333333333335
Belgium-Luxembourg,Savanna fires,0.01976
Belize,Savanna fires,13.369267741935483
Benin,Savanna fires,1020.5369806451613
Bermuda,Savanna fires,0.0
Bhutan,Savanna fires,1.4467225806451611
Bolivia (Plurinational State of),Savanna fires,1961.2769322580646
Bosnia and Herzegovina,Savanna fires,6.847151724137931
Botswana,Savanna fires,5141.990606451613
Brazil,Savanna fires,11175.633132258065
British Virgin Islands,Savanna fires,0.0
Brunei Darussalam,Savanna fires,0.07819354838709677
Bulgaria,Savanna fires,5.5044
Burkina Faso,Savanna fires,1626.404693548387
Burundi,Savanna fires,24.675325806451614
Cabo Verde,Savanna fires,0.0
Cambodia,Savanna fires,1199.5846161290322
Cameroon,Savanna fires,2326.793809677419
Canada,Savanna fires,807.9572741935484
Cayman Islands,Savanna fires,0.0
Central African Republic,Savanna fires,12327.788312903225
Chad,Savanna fires,5390.822061290322
Channel Islands,Savanna fires,0.0
Chile,Savanna fires,30.2761935483871
China,Savanna fires,320.4220612903226
"China, Hong Kong SAR",Savanna fires,0.27322258064516125
"China, Macao SAR",Savanna fires,0.0
"China, Taiwan Province of",Savanna fires,0.05018064516129032
"China, mainland",Savanna fires,320.09865806451614
Colombia,Savanna fires,1436.650264516129
Comoros,Savanna fires,0.6146387096774193
Congo,Savanna fires,1820.0905064516128
Cook Islands,Savanna fires,0.0
Costa Rica,Savanna fires,11.201554838709677
Croatia,Savanna fires,5.175851724137932
Cuba,Savanna fires,52.54293225806451
Cyprus,Savanna fires,0.9263193548387098
Czechia,Savanna fires,0.07403571428571429
Czechoslovakia,Savanna fires,0.0918
Democratic People's Republic of Korea,Savanna fires,5.161377419354839
Democratic Republic of the Congo,Savanna fires,21112.378180645163
Denmark,Savanna fires,0.05779032258064516
Djibouti,Savanna fires,0.0014064516129032258
Dominica,Savanna fires,0.0
Dominican Republic,Savanna fires,8.162116129032258
Ecuador,Savanna fires,15.685312903225807
Egypt,Savanna fires,1.1957741935483872
El Salvador,Savanna fires,3.2092870967741933
Equatorial Guinea,Savanna fires,0.001029032258064516
Eritrea,Savanna fires,22.801710714285715
Estonia,Savanna fires,0.2694310344827586
Eswatini,Savanna fires,40.598077419354844
Ethiopia,Savanna fires,3849.4343750000003
Ethiopia PDR,Savanna fires,3851.3866
Falkland Islands (Malvinas),Savanna fires,0.5035258064516129
Faroe Islands,Savanna fires,0.0
Fiji,Savanna fires,0.9658032258064515
Finland,Savanna fires,0.6734677419354839
France,Savanna fires,5.853383870967742
French Polynesia,Savanna fires,0.0
Gabon,Savanna fires,204.24920967741934
Gambia,Savanna fires,100.85345806451612
Georgia,Savanna fires,4.973796551724138
Germany,Savanna fires,0.09371290322580646
Ghana,Savanna fires,3738.597109677419
Gibraltar,Savanna fires,0.005829032258064516
Greece,Savanna fires,15.22568064516129
Greenland,Savanna fires,0.08096451612903226
Grenada,Savanna fires,0.0
Guadeloupe,Savanna fires,0.0
Guam,Savanna fires,0.0
Guatemala,Savanna fires,116.12518387096775
Guinea,Savanna fires,2838.9901225806448
Guinea-Bissau,Savanna fires,316.5714258064516
Guyana,Savanna fires,32.238087096774194
Haiti,Savanna fires,0.4747935483870968
Holy See,Savanna fires,0.0
Honduras,Savanna fires,137.28394516129032
Hungary,Savanna fires,0.6329258064516129
Iceland,Savanna fires,0.04232258064516129
India,Savanna fires,321.48527096774194
Indonesia,Savanna fires,486.3148838709677
Iran (Islamic Republic of),Savanna fires,66.87192903225807
Iraq,Savanna fires,78.10319677419355
Ireland,Savanna fires,1.1452774193548387
Isle of Man,Savanna fires,8.709677419354838e-05
Israel,Savanna fires,0.6995193548387098
Italy,Savanna fires,7.701825806451613
Jamaica,Savanna fires,0.32073870967741935
Japan,Savanna fires,1.0629258064516127
Jordan,Savanna fires,0.04959677419354839
Kazakhstan,Savanna fires,3884.8529413793103
Kenya,Savanna fires,211.47582903225808
Kiribati,Savanna fires,0.0
Kuwait,Savanna fires,0.0005290322580645162
Kyrgyzstan,Savanna fires,5.596834482758621
Lao People's Democratic Republic,Savanna fires,219.2762193548387
Latvia,Savanna fires,0.5765379310344827
