Year,total_emission
1990,11089596.917302862
1991,11271684.460607743
1992,11164674.518018646
1993,11260497.819544312
1994,11491275.653290868
1995,11896121.511725025
1996,11826321.373102134
1997,13015624.295198994
1998,12479395.978670882
1999,12422372.623636635
2000,12383195.842500541
2001,12332728.656665247
2002,13057702.546951191
2003,13180434.155499479
2004,14263867.575597301
2005,14421538.376810621
2006,15348054.263799692
2007,15263477.816995071
2008,15351776.77265322
2009,15866207.106319277
2010,16172411.640907208
2011,15311078.032936947
2012,15665201.376508243
2013,16072464.497653412
2014,16773677.505032353
2015,16743073.668526625
2016,17473704.098292705
2017,17698682.211616747
2018,18111821.3639125
2019,18564358.62257393
2020,18422494.20375408
